11-30 Shimano 12,11-34 Shimano 12,10-26 SRAM 12,10-28 SRAM 12,10-30 SRAM 12,10-33 SRAM 12,10-36 SRAM 12,11-25 Shimano 11,11-28 Shimano 11,11-30 Shimano 11,12-25 Shimano 11,12-28 Shimano 11
11,11,10,10,10,10,10,11,11,11,12,12
12,12,11,11,11,11,11,12,12,12,13,13
13,13,12,12,12,12,12,13,13,13,14,14
14,14,13,13,13,13,13,14,14,14,15,15
15,15,14,14,14,14,15,15,15,15,16,16
16,17,15,15,15,15,17,16,17,17,17,17
17,19,16,16,17,17,19,17,19,19,18,19
19,21,17,17,19,19,21,19,21,21,19,21
21,24,19,19,21,21,24,21,23,24,21,23
24,27,21,21,24,24,28,23,25,27,25,25
27,30,23,24,27,28,32,25,28,30,25,28
30,34,26,28,30,33,36,,,,,
